"fna","nam"
"República de Benin","Benin"
"República Popular de Bangladesh","Bangladesh"
"República de Bulgaria","Bulgaria"
"Reino de Bahrein","Bahrein"
"Bosnia y Herzegovina","Bosnia y Herzegovina"
"Reino de Bhután","Bhután"
"Confederación Suiza","Suiza"
"República Popular de China","China"
"República de Côte d'Ivoire","Côte d'Ivoire (Costa de Marfil)"
"República del Camerún","Camerún"
"República Democrática del Congo","República Democrática del Congo"
"República del Congo","Congo"
"República de Cabo Verde","Cabo Verde"
"República de Chipre","Chipre"
"República Federal de Alemania","Alemania"
"República de Djibouti","Djibouti"
"Reino de Dinamarca","Dinamarca"
"República Democrática Popular de Argelia","Argelia"
"Estado de Eritrea","Eritrea"
"República de Estonia","Estonia"
"República Democrática Federal de Etiopía","Etiopía"
"República de Finlandia","Finlandia"
"República de las Islas Fiyi","Fiyi"
"Estados Federados de Micronesia","Micronesia"
"República Gabonesa","Gabón"
"República de Gambia","Gambia"
"República de Guinea-Bissau","Guinea-Bissau"
"República de las Islas Marshall","Islas Marshall"
"República de Guinea Ecuatorial","Guinea Ecuatorial"
"República Helénica","Grecia"
"Hong Kong (Región Administrativa Especial) (China)","Hong Kong (Región Administrativa Especial) (China)"
"República de Croacia","Croacia"
"República de Hungría","Hungría"
"República de Indonesia","Indonesia"
"Estado de Israel","Israel"
"República Italiana","Italia"
"República de Malí","Malí"
"Reino Hachemita de Jordania","Jordania"
"República de Kazajstán","Kazajstán"
"República de Kenya","Kenya"
"República de Kirguistán","Kirguistán"
"Reino de Camboya","Camboya"
"República de Kosovo","Kosovo"
"República de Malta","Malta"
"República de la Unión de Myanmar","Myanmar"
"República de Kiribati","Kiribati"
"República de Corea","Corea del Sur"
"Estado de Kuwait","Kuwait"
"República Democrática Popular Lao","Laos"
"República de Mauricio","Mauricio"
"República de Malawi","Malawi"
"República de Namibia","Namibia"
"República de Níger","Níger"
"Isla Norfolk","Isla Norfolk"
"República Federal de Nigeria","Nigeria"
"Reino de Noruega","Noruega"
"República Federal Democrática de Nepal","Nepal"
"República de Nauru","Nauru"
"República Libanesa","Líbano"
"República de Liberia","Liberia"
"Principado de Liechtenstein","Liechtenstein"
"República Socialista Democrática de Sri Lanka","Sri Lanka"
"República Islámica de Pakistán","Pakistán"
"República de Filipinas","Filipinas"
"Reino de Lesotho","Lesotho"
"República de Lituania","Lituania"
"República de Palau","Palau"
"República de Polonia","Polonia"
"República de Letonia","Letonia"
"Estado de Palestina","Palestina"
"Estado de Qatar","Qatar"
"Federación de Rusia","Rusia, Federación de"
"República de San Marino","San Marino"
"República Somalí","Somalia"
"República de Serbia","Serbia"
"República Rwandesa","Rwanda"
"Reino de Arabia Saudita","Arabia Saudita"
"República del Sudán","Sudán"
"República de Senegal","Senegal"
"República de Singapur","Singapur"
"República de Sierra Leona","Sierra Leona"
"República Togolesa","Togo"
"República Democrática de Timor - Leste","Timor - Leste"
"Reino de Tonga","Tonga"
"República de Túnez","Túnez"
"República de Turquía","Turquía"
"Estado Independiente de Samoa","Samoa"
"República de China","Taiwán"
"República Unida de Tanzania","Tanzania"
"República de Uganda","Uganda"
"República de Uzbekistán","Uzbekistán"
"Estado de la Ciudad del Vaticano","Vaticano (Santa Sede)"
"República Socialista de Viet Nam","Viet Nam"
"República de Vanuatu","Vanuatu"
"República de Zambia","Zambia"
"República de Zimbabwe","Zimbabwe"
"República de Sudáfrica","Sudáfrica"
"República Argentina","Argentina"
"Azores (Portugal)","Azores (Portugal)"
"Madeira (Región Autónoma de Portugal)","Madeira (Región Autónoma de Portugal)"
